卷號,上,右,左,下,卷號,上寬,右高,左高,下寬,上寬-下寬,左高-右高,,列標籤,計數 - 上寬-下寬
100005195895_#1.jpg _P1,1464.000342,2149.000233,2148,1463.001367,100005195895_#1.jpg _P1,1464,2149,2148,1463,1,1,,,
100005205836_#1.jpg _P1,1463,2149.000233,2148.000233,1463.000342,100005205836_#1.jpg _P1,1463,2149,2148,1463,0,1,,,
100005215831_#1.jpg _P1,1463.000342,2149,2148,1463.001367,100005215831_#1.jpg _P1,1463,2149,2148,1463,0,1,,,
100005225826_#1.jpg _P1,1463.003076,2149.002094,2148.002095,1463.005468,100005225826_#1.jpg _P1,1463,2149,2148,1463,0,1,,,
100005235821_#1.jpg _P1,1463.000342,2149,2147.000233,1464.003074,100005235821_#1.jpg _P1,1463,2149,2147,1464,-1,2,,,
100005245816_#1.jpg _P1,1463.001367,2148.000233,2147.000233,1463.003076,100005245816_#1.jpg _P1,1463,2148,2147,1463,0,1,,,
100005255811_#1.jpg _P1,1463.001367,2150.002093,2147.000932,1462.00855,100005255811_#1.jpg _P1,1463,2150,2147,1462,1,3,,,
100005265806_#1.jpg _P1,1464.001366,2149.000931,2147.000932,1464.005464,100005265806_#1.jpg _P1,1464,2149,2147,1464,0,2,,,
100005275801_#1.jpg _P1,1462.001368,2150.002093,2146.000932,1463.001367,100005275801_#1.jpg _P1,1462,2150,2146,1463,-1,4,,,
100005285893_#1.jpg _P1,1463.000342,2149.000233,2146.000233,1463.001367,100005285893_#1.jpg _P1,1463,2149,2146,1463,0,3,,,
100005295888_#1.jpg _P1,1463.000342,2150.000233,2148.000233,1463.003076,100005295888_#1.jpg _P1,1463,2150,2148,1463,0,2,,,
100005305829_#1.jpg _P1,1463.000342,2149.000233,2148.000233,1463.001367,100005305829_#1.jpg _P1,1463,2149,2148,1463,0,1,,,
100005315824_#1.jpg _P1,1463.000342,2150.000233,2147.000932,1464.005464,100005315824_#1.jpg _P1,1463,2150,2147,1464,-1,3,,,
100005325819_#1.jpg _P1,1463.001367,2149.000233,2148.000931,1464.003074,100005325819_#1.jpg _P1,1463,2149,2148,1464,-1,1,,,
100005335814_#1.jpg _P1,1462.000342,2149.000233,2147,1463.003076,100005335814_#1.jpg _P1,1462,2149,2147,1463,-1,2,,,
100005345809_#1.jpg _P1,1462.000342,2149.000233,2147.000233,1462.003078,100005345809_#1.jpg _P1,1462,2149,2147,1462,0,2,,,
100005355804_#1.jpg _P1,1463.000342,2149,2147,1463.003076,100005355804_#1.jpg _P1,1463,2149,2147,1463,0,2,,,
