卷號,上,右,左,下,卷號,上寬,右高,左高,下寬,上寬-下寬,右高-左高,,卷號,(全部)
100005314824_#1.jpg _P1,1452.000344,2147.000233,2147.000932,1451.000345,100005314824_#1.jpg _P1,1452,2147,2147,1451,1,0,,,
100005324819_#1.jpg _P1,1451.000345,2148.000931,2148.000931,1451.000345,100005324819_#1.jpg _P1,1451,2148,2148,1451,0,0,,,
100005334814_#1.jpg _P1,1452.000344,2148.000233,2149.002094,1450.001379,100005334814_#1.jpg _P1,1452,2148,2149,1450,2,-1,,,
100005344809_#1.jpg _P1,1451.000345,2147.000932,2149.002094,1450.003103,100005344809_#1.jpg _P1,1451,2147,2149,1450,1,-2,,,
100005354804_#1.jpg _P1,1452.000344,2148.000233,2148.000931,1451.000345,100005354804_#1.jpg _P1,1452,2148,2148,1451,1,0,,,
100005364896_#1.jpg _P1,1452,2147.000233,2148.000233,1452.000344,100005364896_#1.jpg _P1,1452,2147,2148,1452,0,-1,,,
100006014834_#1.jpg _P1,1452.001377,2149.000931,2148.000931,1452.000344,100006014834_#1.jpg _P1,1452,2149,2148,1452,0,1,,,
100006024829_#1.jpg _P1,1453.000344,2148.000233,2149.002094,1451.001378,100006024829_#1.jpg _P1,1453,2148,2149,1451,2,-1,,,
100006034824_#1.jpg _P1,1452.001377,2148.000931,2148.000931,1452.001377,100006034824_#1.jpg _P1,1452,2148,2148,1452,0,0,,,
100006044819_#1.jpg _P1,1452.001377,2149.000931,2148.002095,1451.000345,100006044819_#1.jpg _P1,1452,2149,2148,1451,1,1,,,
100006054814_#1.jpg _P1,1452,2148,2148.000931,1450,100006054814_#1.jpg _P1,1452,2148,2148,1450,2,0,,,
100006064809_#1.jpg _P1,1453.000344,2148,2148.002095,1450.000345,100006064809_#1.jpg _P1,1453,2148,2148,1450,3,0,,,
100006074804_#1.jpg _P1,1453.000344,2148.000233,2149.003723,1450.001379,100006074804_#1.jpg _P1,1453,2148,2149,1450,3,-1,,,
100006084896_#1.jpg _P1,1451.000345,2148.000233,2148.000931,1450.000345,100006084896_#1.jpg _P1,1451,2148,2148,1450,1,0,,,
100006094891_#1.jpg _P1,1452.000344,2147.000233,2148.002095,1450.001379,100006094891_#1.jpg _P1,1452,2147,2148,1450,2,-1,,,
100006104832_#1.jpg _P1,1452.000344,2148.316598,2148.000931,1450.907388,100006104832_#1.jpg _P1,1452,2148,2148,1451,1,0,,,
100006114827_#1.jpg _P1,1452,2147.000233,2149.002094,1450.001379,100006114827_#1.jpg _P1,1452,2147,2149,1450,2,-2,,,
