卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y
0283_#1.jpg _P1,122,86,1550,87,119,2257,1545,2256
0284_#1.jpg _P1,123,85,1551,86,119,2255,1545,2254
0285_#1.jpg _P1,124,85,1552,86,120,2255,1546,2256
0286_#1.jpg _P1,122,87,1550,88,120,2258,1546,2256
0287_#1.jpg _P1,122,85,1549,87,120,2256,1544,2256
0288_#1.jpg _P1,123,82,1550,84,119,2252,1545,2252
0289_#1.jpg _P1,122,83,1550,84,118,2252,1545,2253
0290_#1.jpg _P1,123,81,1550,82,120,2252,1546,2251
0291_#1.jpg _P1,122,86,1550,87,120,2257,1546,2256
0292_#1.jpg _P1,124,84,1553.03,87.06549,119,2254,1546,2255
0293_#1.jpg _P1,123,87,1551,89,119,2257,1546,2257
0294_#1.jpg _P1,123,85,1550,86,119,2255,1544,2255
0295_#1.jpg _P1,123,87,1551,89,120,2258,1545,2258
0296_#1.jpg _P1,123,88,1550,89,120,2258,1546,2258
0297_#1.jpg _P1,123,86,1551,88,118,2257,1545,2258
0298_#1.jpg _P1,123,86,1550,88,119,2256,1545,2256
0299_#1.jpg _P1,123,87,1552,89,120,2257,1546,2257
0300_#1.jpg _P1,122,85,1549,86,119,2256,1545,2255
0301_#1.jpg _P1,123,86,1551,88,119,2257,1545,2258
0302_#1.jpg _P1,123,86,1550,88,120,2257,1546,2256
0303_#1.jpg _P1,124,84,1552,86,119,2254,1546,2255
0304_#1.jpg _P1,125,87,1552,89,121,2257,1548,2258
0305_#1.jpg _P1,124,85,1552,88,119,2255,1546,2256
0306_#1.jpg _P1,124,84,1552,87,119,2255,1545,2255
0307_#1.jpg _P1,125,80,1553,83,120,2250,1546,2251
0308_#1.jpg _P1,122,86,1550,87,120,2256,1545,2256
0309_#1.jpg _P1,122,86,1549,87,119,2257,1545,2256
0310_#1.jpg _P1,122,86,1550,87,119,2257,1545,2256
0311_#1.jpg _P1,123,86,1551,87,119,2256,1544,2256
0312_#1.jpg _P1,123,85,1551,86,120,2256,1545,2255
0313_#1.jpg _P1,124,87,1552,90,120,2258,1546,2258
0314_#1.jpg _P1,123,87,1551,87,121,2257,1547,2256
0315_#1.jpg _P1,123,82,1551,84,119,2252,1545,2253
0316_#1.jpg _P1,122,87,1550,89,119,2257,1545,2257
0317_#1.jpg _P1,121,90,1549,90,119,2260,1545,2259
0318_#1.jpg _P1,123,86,1550,88,120,2257,1545,2257
0319_#1.jpg _P1,121,86,1549,86,120,2258,1546,2255
0320_#1.jpg _P1,123,87,1550,87,120,2257,1546,2256
0321_#1.jpg _P1,123,85,1551,87,120,2256,1545,2256
0322_#1.jpg _P1,124,86,1552,87,120,2257,1546,2256
0323_#1.jpg _P1,120,89,1548,89,119,2259,1545,2258
0324_#1.jpg _P1,123,82,1551,85,118,2253,1544,2254
0325_#1.jpg _P1,124,81,1552,83,119,2252,1546,2252
0326_#1.jpg _P1,125,85,1552,87,120,2254,1546,2256
0327_#1.jpg _P1,126,85,1554,87,121,2254,1548,2256
0328_#1.jpg _P1,125,88,1552,89,121,2259,1547,2258
0329_#1.jpg _P1,123,87,1550,88,120,2257,1546,2257
0330_#1.jpg _P1,121,89,1549,90,119,2260,1545,2259
0331_#1.jpg _P1,123,85,1550,87,119,2256,1545,2256
0332_#1.jpg _P1,123,86,1550,87,119,2256,1545,2256
0333_#1.jpg _P1,124,84,1552,86,120,2255,1546,2256
0334_#1.jpg _P1,121,83,1547,83,120,2253,1545,2252
0335_#1.jpg _P1,122,86,1550,87,121,2257,1546,2255
0336_#1.jpg _P1,123,85,1551,86,120,2255,1546,2255
0337_#1.jpg _P1,124,85,1551,88,120,2256,1545,2256
0338_#1.jpg _P1,122,85,1549,87,118,2256,1544,2256
0339_#1.jpg _P1,122,87,1550,88,119,2257,1546,2257
0340_#1.jpg _P1,123,87,1551,89,119,2257,1546,2258
0341_#1.jpg _P1,121,88,1549,88,119,2259,1545,2258
0342_#1.jpg _P1,122,89,1550,90,119,2258,1545,2258
0343_#1.jpg _P1,122,85,1550,87,119,2256,1545,2256
0344_#1.jpg _P1,121,89,1548,89,119,2259,1546,2258
0345_#1.jpg _P1,124,85,1552,88,119,2257,1545,2258
0346_#1.jpg _P1,123,87,1551,88,120,2259,1546,2258
0347_#1.jpg _P1,121,83,1550,83,120,2254,1545,2253
0348_#1.jpg _P1,121,88,1550,89,119,2258,1545,2259
0349_#1.jpg _P1,124,87,1552,89,119,2259,1545,2258
0350_#1.jpg _P1,122,88,1550,89,119,2259,1545,2259
0351_#1.jpg _P1,121,87,1549,87,120,2257,1545,2256
0352_#1.jpg _P1,122,87,1550,88,119,2257,1545,2257
0353_#1.jpg _P1,123,83,1551,85,119,2254,1546,2254
0354_#1.jpg _P1,122,86,1551,88,119,2257,1546,2257
0355_#1.jpg _P1,125,85,1553,88,120,2256,1547,2257
0356_#1.jpg _P1,123,86,1552,89,119,2258,1545,2258
0357_#1.jpg _P1,122,85,1550,87,118,2256,1544,2256
0358_#1.jpg _P1,124,85,1552,87,120,2256,1547,2256
0359_#1.jpg _P1,123,85,1552,87,120,2257,1546,2256
0360_#1.jpg _P1,122,85,1550,86,120,2256,1547,2256
0361_#1.jpg _P1,124,86,1552,89,118,2257,1545,2258
0362_#1.jpg _P1,122,86,1550,88,119,2257,1546,2257
0363_#1.jpg _P1,123,86,1551,88,120,2258,1547,2257
0364_#1.jpg _P1,123,86,1552,88,119,2256,1544,2257
0365_#1.jpg _P1,121,87,1550,87,120,2257,1545,2257
0366_#1.jpg _P1,122,86,1552,88,119,2257,1545,2258
0367_#1.jpg _P1,123,86,1551,87,119,2257,1546,2257
0368_#1.jpg _P1,123,86,1552,88,120,2258,1546,2257
0369_#1.jpg _P1,124,80,1553,82,120,2251,1547,2252
0370_#1.jpg _P1,124,86,1552,89,119,2257,1546,2258
0371_#1.jpg _P1,123,87,1551,88,119,2258,1546,2257
